[2026-06-25T15:38:28.974Z] GET http://localhost:5174/src/components/ui/medusa/auth-screen-state.tsx → 200 (4ms, 4447B)
[2026-06-25T15:38:28.974Z] GET http://localhost:5174/src/components/layout/admin-shell.tsx?t=1782401892651 → 200 (4ms, 13463B)
[2026-06-25T15:38:28.974Z] GET http://localhost:5174/src/hooks/use-auth.tsx → 200 (19ms, 12692B)
[2026-06-25T15:38:28.974Z] GET http://localhost:5174/src/hooks/use-catalog.tsx?t=1782401892660 → 200 (6ms, 8365B)
[2026-06-25T15:38:28.974Z] GET http://localhost:5174/src/hooks/use-orders.tsx?t=1782401892654 → 200 (19ms, 5937B)
[2026-06-25T15:38:28.974Z] GET http://localhost:5174/src/pages/login.tsx → 200 (19ms, 13760B)
[2026-06-25T15:38:28.974Z] GET http://localhost:5174/src/pages/onboarding.tsx → 200 (20ms, 14022B)
[2026-06-25T15:38:28.974Z] GET http://localhost:5174/src/pages/team.tsx?t=1782401892684 → 200 (20ms, 36877B)
[2026-06-25T15:38:28.974Z] GET http://localhost:5174/src/pages/security.tsx?t=1782401892681 → 200 (20ms, 16512B)
[2026-06-25T15:38:28.974Z] GET http://localhost:5174/src/pages/orders-list.tsx?t=1782401892654 → 200 (20ms, 18672B)
[2026-06-25T15:38:28.974Z] GET http://localhost:5174/src/pages/order-detail.tsx?t=1782401892654 → 200 (21ms, 36156B)
[2026-06-25T15:38:28.974Z] GET http://localhost:5174/src/pages/products-list.tsx?t=1782401892660 → 200 (27ms, 22220B)
[2026-06-25T15:38:28.974Z] GET http://localhost:5174/src/pages/create-product.tsx?t=1782401906000 → 200 (26ms, 197783B)
[2026-06-25T15:38:28.975Z] GET http://localhost:5174/src/pages/product-detail.tsx?t=1782401906003 → 200 (26ms, 138030B)
[2026-06-25T15:38:28.975Z] GET http://localhost:5174/src/pages/placeholder-index.tsx?t=1782401892672 → 200 (25ms, 5714B)
[2026-06-25T15:38:28.975Z] GET http://localhost:5174/src/pages/customization-templates.tsx?t=1782401892688 → 200 (26ms, 3726B)
[2026-06-25T15:38:28.978Z] GET http://localhost:5174/node_modules/.vite/deps/react-dom.js?v=36112580 → 200 (24ms, 14677B)
[2026-06-25T15:38:28.978Z] GET http://localhost:5174/node_modules/.vite/deps/scheduler-Cn3Edgx8.js?v=36112580 → 200 (23ms, 10305B)
[2026-06-25T15:38:28.979Z] GET http://localhost:5174/node_modules/.vite/deps/@medusajs_ui.js?v=36112580 → 200 (39ms, 1715494B)
[2026-06-25T15:38:28.979Z] GET http://localhost:5174/node_modules/.vite/deps/lucide-react.js?v=36112580 → 200 (33ms, 1126446B)
[2026-06-25T15:38:28.979Z] GET http://localhost:5174/src/lib/sidebar-config.ts → 200 (24ms, 5618B)
[2026-06-25T15:38:28.979Z] GET http://localhost:5174/src/components/layout/shell.tsx?t=1782401892545 → 200 (24ms, 4938B)
[2026-06-25T15:38:28.980Z] GET http://localhost:5174/src/components/layout/sidebar.tsx?t=1782401892651 → 200 (23ms, 23228B)
[2026-06-25T15:38:28.993Z] GET http://localhost:5174/src/lib/mock-data.ts?t=1782401892654 → 200 (11ms, 30257B)
[2026-06-25T15:38:28.993Z] GET http://localhost:5174/src/lib/product-utils.ts?t=1782401892660 → 200 (10ms, 48926B)
[2026-06-25T15:38:29.001Z] GET http://localhost:5174/src/lib/auth-client.ts → 200 (2ms, 5124B)
[2026-06-25T15:38:29.001Z] GET http://localhost:5174/src/lib/auth-utils.ts → 200 (3ms, 3374B)
[2026-06-25T15:38:29.001Z] GET http://localhost:5174/src/lib/order-utils.ts → 200 (3ms, 3321B)
[2026-06-25T15:38:29.001Z] GET http://localhost:5174/src/components/ui/medusa/inline-error.tsx → 200 (4ms, 2558B)
[2026-06-25T15:38:29.001Z] GET http://localhost:5174/src/lib/validation.ts → 200 (5ms, 12025B)
[2026-06-25T15:38:29.001Z] GET http://localhost:5174/src/components/ui/medusa/index.ts → 200 (4ms, 2264B)
[2026-06-25T15:38:29.001Z] GET http://localhost:5174/src/components/ui/medusa/success-message.tsx → 200 (5ms, 2607B)
[2026-06-25T15:38:29.002Z] GET http://localhost:5174/src/components/ui/medusa/status-badge.tsx → 200 (4ms, 3554B)
[2026-06-25T15:38:29.002Z] GET http://localhost:5174/src/lib/utils.ts → 200 (4ms, 2704B)
[2026-06-25T15:38:29.002Z] GET http://localhost:5174/src/components/ui/medusa/checklist-item.tsx → 200 (4ms, 3599B)
[2026-06-25T15:38:29.002Z] GET http://localhost:5174/src/components/ui/medusa/category-multiselect.tsx → 200 (4ms, 12146B)
[2026-06-25T15:38:29.002Z] GET http://localhost:5174/src/lib/product-assets-client.ts?t=1782401892657 → 200 (4ms, 4762B)
[2026-06-25T15:38:29.002Z] GET http://localhost:5174/src/components/ui/medusa/text-area-field.tsx → 200 (5ms, 4489B)
[2026-06-25T15:38:29.002Z] GET http://localhost:5174/src/components/ui/medusa/select-field.tsx → 200 (5ms, 4703B)
[2026-06-25T15:38:29.002Z] GET http://localhost:5174/src/CustomizationTemplateListPage.tsx?t=1782401892539 → 200 (5ms, 23407B)
[2026-06-25T15:38:29.002Z] GET http://localhost:5174/src/CustomizationTemplatePage.tsx?t=1782401892688 → 200 (5ms, 108186B)
[2026-06-25T15:38:29.003Z] GET http://localhost:5174/node_modules/.vite/deps/valibot.js?v=36112580 → 200 (6ms, 190601B)
[2026-06-25T15:38:29.004Z] GET http://localhost:5174/node_modules/.vite/deps/better-auth_client_plugins.js?v=36112580 → 200 (5ms, 53615B)
[2026-06-25T15:38:29.004Z] GET http://localhost:5174/node_modules/.vite/deps/better-auth_react.js?v=36112580 → 200 (5ms, 46459B)
[2026-06-25T15:38:29.005Z] GET http://localhost:5174/src/components/ui/medusa/data-panel.tsx → 200 (3ms, 4674B)
[2026-06-25T15:38:29.005Z] GET http://localhost:5174/src/components/ui/medusa/empty-state.tsx → 200 (4ms, 2534B)
[2026-06-25T15:38:29.005Z] GET http://localhost:5174/src/components/ui/medusa/metric-card.tsx → 200 (4ms, 3328B)
[2026-06-25T15:38:29.005Z] GET http://localhost:5174/src/components/ui/medusa/page-header.tsx → 200 (4ms, 4689B)
[2026-06-25T15:38:29.005Z] GET http://localhost:5174/src/components/ui/medusa/section-card.tsx → 200 (4ms, 4143B)
[2026-06-25T15:38:29.005Z] GET http://localhost:5174/src/components/ui/medusa/stat-card.tsx → 200 (4ms, 3747B)
[2026-06-25T15:38:29.005Z] GET http://localhost:5174/src/components/ui/medusa/summary-row.tsx → 200 (4ms, 3243B)
[2026-06-25T15:38:29.006Z] GET http://localhost:5174/src/components/ui/medusa/text-field.tsx → 200 (3ms, 5421B)
[2026-06-25T15:38:29.007Z] GET http://localhost:5174/@fs/Users/dnt/workspace/trophy/packages/customization/src/index.ts?t=1782401892688 → 200 (9ms, 70505B)
[2026-06-25T15:38:29.008Z] GET http://localhost:5174/node_modules/.vite/deps/konva.js?v=36112580 → 200 (2ms, 778B)
[2026-06-25T15:38:29.008Z] GET http://localhost:5174/node_modules/.vite/deps/react-konva.js?v=36112580 → 200 (9ms, 595380B)
[2026-06-25T15:38:29.009Z] GET http://localhost:5174/node_modules/.vite/deps/equality-BGhNnmrW.js?v=36112580 → 200 (7ms, 16210B)
[2026-06-25T15:38:29.010Z] GET http://localhost:5174/node_modules/.vite/deps/lib-CDSsqxgj.js?v=36112580 → 200 (7ms, 316254B)
[2026-06-25T15:38:29.027Z] GET http://localhost:5174/node_modules/.vite/deps/react_jsx-runtime.js?v=36112580 → 200 (35ms, 10896B)
[2026-06-25T15:38:29.137Z] GET http://localhost:5174/node_modules/.vite/deps/prism-json-Dpxz72-O.js?v=36112580 → 504 (?ms, ?B)
[2026-06-25T15:38:29.154Z] GET http://localhost:8787/api/admin/auth/get-session → 200 (33ms, 4B)
[2026-06-25T15:38:29.154Z] GET http://localhost:8787/api/admin/auth/get-session → 200 (19ms, 4B)
[2026-06-25T15:38:58.496Z] GET http://localhost:5174/src/index.css?t=1782401938495 → pending (?ms, ?B)
[2026-06-25T15:38:58.496Z] GET http://localhost:5174/src/components/ui/medusa/category-multiselect.tsx?t=1782401938495 → pending (?ms, ?B)
[2026-06-25T15:38:58.496Z] GET http://localhost:5174/src/index.css?t=1782401938495 → 200 (85ms, 97762B)
[2026-06-25T15:38:58.496Z] GET http://localhost:5174/src/components/ui/medusa/category-multiselect.tsx?t=1782401938495 → 200 (79ms, 12180B)
[2026-06-25T15:39:01.304Z] GET http://localhost:5174/src/index.css?t=1782401941304 → 200 (82ms, 97762B)
[2026-06-25T15:39:01.304Z] GET http://localhost:5174/src/components/ui/medusa/category-multiselect.tsx?t=1782401941304 → 200 (82ms, 12194B)
[2026-06-25T15:39:01.304Z] GET http://localhost:5174/src/index.css?t=1782401941304 → 200 (81ms, 97762B)
[2026-06-25T15:39:01.304Z] GET http://localhost:5174/src/components/ui/medusa/category-multiselect.tsx?t=1782401941304 → 200 (82ms, 12194B)
[2026-06-25T15:39:54.314Z] POST http://localhost:8787/api/admin/auth/sign-in/username → 401 (185ms, 80B)
[2026-06-25T15:40:19.955Z] GET http://localhost:5174/products/new → 200 (3ms, 628B)
[2026-06-25T15:40:19.961Z] GET http://localhost:5174/@vite/client → 200 (7ms, 211860B)
[2026-06-25T15:40:19.962Z] GET http://localhost:5174/src/main.tsx?t=1782401941304 → 200 (?ms, 1672B)
[2026-06-25T15:40:19.962Z] GET http://localhost:5174/@react-refresh → 200 (2ms, 111894B)
[2026-06-25T15:40:19.963Z] GET http://localhost:5174/node_modules/.vite/deps/react.js?v=36112580 → 200 (?ms, 755B)
[2026-06-25T15:40:19.963Z] GET http://localhost:5174/node_modules/.vite/deps/react-dom_client.js?v=36112580 → 200 (?ms, 811114B)
[2026-06-25T15:40:19.963Z] GET http://localhost:5174/src/index.css?t=1782401941304 → 304 (1ms, ?B)
[2026-06-25T15:40:19.963Z] GET http://localhost:5174/src/App.tsx?t=1782401941304 → 200 (1ms, 24018B)
[2026-06-25T15:40:19.963Z] GET http://localhost:5174/node_modules/.vite/deps/react_jsx-dev-runtime.js?v=36112580 → 200 (?ms, 10586B)
[2026-06-25T15:40:19.963Z] GET http://localhost:5174/node_modules/.vite/deps/react-BrYFF6XK.js?v=36112580 → 200 (?ms, 39660B)
[2026-06-25T15:40:19.963Z] GET http://localhost:5174/node_modules/.vite/deps/react-dom.js?v=36112580 → 200 (?ms, 14677B)
[2026-06-25T15:40:19.963Z] GET http://localhost:5174/node_modules/.vite/deps/scheduler-Cn3Edgx8.js?v=36112580 → 200 (?ms, 10305B)
[2026-06-25T15:40:19.968Z] GET http://localhost:5174/node_modules/.vite/deps/react-router.js?v=36112580 → 200 (?ms, 490966B)
[2026-06-25T15:40:19.968Z] GET http://localhost:5174/src/components/ui/medusa/auth-screen-state.tsx → 200 (14ms, 4447B)
[2026-06-25T15:40:19.968Z] GET http://localhost:5174/src/components/layout/admin-shell.tsx?t=1782401892651 → 200 (14ms, 13463B)
[2026-06-25T15:40:19.968Z] GET http://localhost:5174/src/hooks/use-auth.tsx → 200 (15ms, 12692B)
[2026-06-25T15:40:19.968Z] GET http://localhost:5174/src/hooks/use-catalog.tsx?t=1782401892660 → 200 (14ms, 8365B)
[2026-06-25T15:40:19.969Z] GET http://localhost:5174/src/hooks/use-orders.tsx?t=1782401892654 → 200 (15ms, 5937B)
[2026-06-25T15:40:19.969Z] GET http://localhost:5174/src/pages/login.tsx → 200 (15ms, 13760B)
[2026-06-25T15:40:19.969Z] GET http://localhost:5174/src/pages/onboarding.tsx → 200 (15ms, 14022B)
[2026-06-25T15:40:19.969Z] GET http://localhost:5174/src/pages/team.tsx?t=1782401892684 → 200 (20ms, 36877B)
[2026-06-25T15:40:19.969Z] GET http://localhost:5174/src/pages/security.tsx?t=1782401892681 → 200 (20ms, 16512B)
[2026-06-25T15:40:19.969Z] GET http://localhost:5174/src/pages/orders-list.tsx?t=1782401892654 → 200 (21ms, 18672B)
[2026-06-25T15:40:19.969Z] GET http://localhost:5174/src/pages/order-detail.tsx?t=1782401892654 → 200 (21ms, 36156B)
[2026-06-25T15:40:19.969Z] GET http://localhost:5174/src/pages/products-list.tsx?t=1782401892660 → 200 (22ms, 22220B)
[2026-06-25T15:40:19.969Z] GET http://localhost:5174/src/pages/create-product.tsx?t=1782401941304 → 200 (20ms, 197799B)
[2026-06-25T15:40:19.969Z] GET http://localhost:5174/src/pages/product-detail.tsx?t=1782401941304 → 200 (21ms, 138046B)
[2026-06-25T15:40:19.969Z] GET http://localhost:5174/src/pages/placeholder-index.tsx?t=1782401892672 → 200 (20ms, 5714B)
[2026-06-25T15:40:19.970Z] GET http://localhost:5174/src/pages/customization-templates.tsx?t=1782401892688 → 200 (21ms, 3726B)
[2026-06-25T15:40:19.970Z] GET http://localhost:5174/@fs/Users/dnt/.vite-plus/0.1.24/node_modules/.pnpm/@voidzero-dev+vite-plus-core@0.1.24/node_modules/@voidzero-dev/vite-plus-core/dist/vite/client/env.mjs → 200 (20ms, 3615B)
[2026-06-25T15:40:19.992Z] GET http://localhost:5174/node_modules/.vite/deps/@medusajs_ui.js?v=36112580 → 200 (?ms, 1715494B)
[2026-06-25T15:40:19.992Z] GET http://localhost:5174/node_modules/.vite/deps/lucide-react.js?v=36112580 → 200 (?ms, 1126446B)
[2026-06-25T15:40:19.993Z] GET http://localhost:5174/src/lib/sidebar-config.ts → 200 (2ms, 5618B)
[2026-06-25T15:40:19.993Z] GET http://localhost:5174/src/components/layout/shell.tsx?t=1782401892545 → 200 (6ms, 4938B)
[2026-06-25T15:40:19.993Z] GET http://localhost:5174/src/components/layout/sidebar.tsx?t=1782401892651 → 200 (6ms, 23228B)
[2026-06-25T15:40:19.993Z] GET http://localhost:5174/src/lib/mock-data.ts?t=1782401892654 → 200 (6ms, 30257B)
[2026-06-25T15:40:19.993Z] GET http://localhost:5174/src/lib/product-utils.ts?t=1782401892660 → 200 (7ms, 48926B)
